"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"RECEPTIONIST","PT Inter Aneka Lestari Kimia","Tangerang, Banten","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff Administrasi","PT Tunas Graha Abadi","Karawang Timur, Jawa Barat","Rp 3.000.000 – Rp 3.500.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"STAFF FINANCE","PT Laksana Kurnia Mandiri Sejati","Tangerang, Banten","Rp 4,000,000 – Rp 5,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"GM Service Center","PT Airmas Perkasa","Jakarta Barat, Jakarta Raya","","subClassification: ManajemenManajemenclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Security (Sr.)","PT. Trimegah Sekuritas Indonesia, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Marketing","PT Gapura Berkat Utama","Tangerang, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant to Director (Chinese Speaking Preferred)","PT. Equinox Teknologi Indonesia","Jakarta Utara, Jakarta Raya","Rp 10,000,000 – Rp 15,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Project Admin","PT Indo Plafon","Tangerang, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT PROGRAMMER","PT Star Omega Abadi","Jakarta Barat, Jakarta Raya","Rp 6.000.000 – Rp 7.000.000 per month","subClassification: Pengembangan & Produksi WebPengembangan & Produksi Webclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Database Administrator","PT KB Finansia Multi Finance","Jakarta Selatan, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Front End (Angular) Developer","PT Lawencon Internasional","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Penagihan","PT. Arta Global Sukses","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN (MANDARIN SPEAKER)","PT Dexin Steel Indonesia","Jakarta Utara, Jakarta Raya","Rp 8.000.000 – Rp 12.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Full Stack Developer","PT Mixtra Inti Tekindo","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Backend Developer - Tech Lead","PT Gajah Agung Mandiri","Jakarta Pusat, Jakarta Raya","Rp 13,500,000 – Rp 20,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Business Solution Software Developer","PT. Meratus Line & Group","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Support","PT BYTEDEVICE","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT SUPPORT","PT Sinar Laut Mandiri","Jakarta Barat, Jakarta Raya","Rp 4.500.000 – Rp 5.500.000 per month","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Business Analyst","PT Indocyber Global Teknologi","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Enterprise Data Analyst","PT Infra Solusi Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: ArsitekArsitekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Software Automation Test Engineer","PT. Wide Technologies Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Administration & General","PT Ratu Oceania Raya","Tangerang, Banten","Rp 4,800,000 – Rp 6,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
