"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Fullstack Developer (.Net + react.js)","PT Karisma Zona Kreatifku","Jakarta Selatan, Jakarta Raya","Rp 10,000,000 – Rp 12,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Sales & Marketing","PT Bimaruna Jaya","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Microsoft Dynamics 365 CE Functional Consultant","PT SAGLOBAL INDONESIA OPERATIONS","Jakarta Barat, Jakarta Raya","","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assistant to the CEO","PT Crypto Canary Network","Tebet, Jakarta Raya","Rp 6,500,000 – Rp 8,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Back End Developer","PT Star Cosmos","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Project Manager","PT Ako Media Asia","Jakarta Barat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Crewing Training Admin","SOECHI GROUP","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Project Secretary - Mandarin Speaker","PT Harrisma Informatika Jaya","Jakarta Barat, Jakarta Raya","Rp 14,000,000 – Rp 20,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staf Admin Gudang","PT.SUNGAI PANJANG ADAMAS","Cikarang Utara, Jawa Barat","Rp 3.500.000 – Rp 4.500.000 per month","subClassification: Entri Data & Pengolahan KataEntri Data & Pengolahan Kataclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Programmer","PT Microvac Indonesia","Jakarta Timur, Jakarta Raya","Rp 5,500,000 – Rp 8,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Backend Developer (Golang/Node.Js)","PT Kamoro Maxima Integra","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Back End Developer","PT Akseleran Keuangan Inklusif Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Software Quality Assurance","PT Teknologi Pamadya Analitika","Karawaci, Banten","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Front-End Developer (Vue JS)","pt. digital sarana legoas","Jakarta Barat, Jakarta Raya","Rp 7.500.000 – Rp 10.000.000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Information Technology Supervisor (Mandarin Speaker)","PT Global Bintang Timur Ekspress","Jakarta Utara, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Mandarin Speaking","PT Global Jet Express","Jakarta Utara, Jakarta Raya","","subClassification: Manajemen PerkantoranManajemen Perkantoranclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff WTP Engineer","PT Arita Prima Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"UI/UX Designer","ATech Solution","Jakarta Utara, Jakarta Raya","","subClassification: Pengembangan & Produksi WebPengembangan & Produksi Webclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Pre-sales Engineer for AV Multimedia","PT Technet Vision Indonesia","Jakarta Timur, Jakarta Raya","IDR 5,000,000 - 7,000,000","subClassification: Teknik – Perangkat KerasTeknik – Perangkat Kerasclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System & Network Administrator (Hybrid Working)","PT Profescipta Wahanatehnik","Jakarta Timur, Jakarta Raya","Rp 6,000,000 – Rp 8,000,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staf administrasi","","Jakarta Pusat, Jakarta Raya","Rp 5,000,000 – Rp 7,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Assistant to Relationship Manager (Japanese Speaker JLPT N2)","PT JAC Consulting Indonesia","Jakarta Pusat, Jakarta Raya","Rp 7,000,000 – Rp 8,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Support dan Design","PT Arkanindoplast Utama","Bogor, Jawa Barat","IDR 4,000,000 - 6,000,000","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Assistant Direktur (Mandarin)","PT MASUK SUKSES PERTAMA","Jakarta Selatan, Jakarta Raya","Rp 7.000.000 – Rp 9.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN PROJECT","PT Indo Mitra Pratama","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Fullstack Programmer","PT Royal Sutan Agung","Jakarta Timur, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"General Affairs Staff","PT Grand Principal Mandiri","Jakarta Barat, Jakarta Raya","Rp 4,500,000 – Rp 5,000,000 per month","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant","","Jakarta Selatan, Jakarta Raya","Rp5.000.000 – Rp6.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"iOS Developer Senior Lead","PT JAC Consulting Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ETL Developer","PT Nawa Data Solutions","Tangerang Selatan, Banten","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operation Support Assistant (Mandarin Speaker)","KKV INTERNATIONAL INDONESIA","Jakarta Barat, Jakarta Raya","Rp 7,000,000 – Rp 9,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Office Administrator","PT.Toba Wangi Indonesia","Jakarta Barat, Jakarta Raya","Rp 4,500,000 – Rp 6,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Manager","Indonesia International Institute for Life Sciences","Jakarta Timur, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Network Engineer","PT Dutagriya Sarana","Jakarta Utara, Jakarta Raya","Rp 7,000,000 – Rp 8,000,000 per month","subClassification: Teknik – JaringanTeknik – Jaringanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Security Engineer","PT Nusantara Compnet Integrator","Jakarta Barat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"HRIS Development","PT Nojorono Tobacco International","Jakarta Timur, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Office Staff (Japanese Speaker)","PT Harmo Machinery Indonesia","Bekasi, Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Presales Engineer","PT Nusantara Compnet Integrator","Jakarta Barat, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Project","PT Lixil Aluminium Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Android Developer","PT. UNINET MEDIA SAKTI","Jakarta Selatan, Jakarta Raya","Rp 5,000,000 – Rp 6,500,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"MOBILE (FLUTTER) DEVELOPER","PT Indonesia Satu Tujuh","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ERP Sales","PT. Metrodata Electronics, Tbk","Jakarta Barat, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"React Full Stack Developer","PT IFCA Property365 Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Property","PT Usaha Gedung Mandiri","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi KontrakAdministrasi Kontrakclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administrasi General Affair","PT Opto Persada Nusantara","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Japanese Interpreter (JLPT N2/N1) - Jakarta - WFO - (ID:  595591)","PT. PERSOLKELLY Recruitment Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Support","LIECO GROUP","Jakarta Utara, Jakarta Raya","","subClassification: Teknik – Perangkat KerasTeknik – Perangkat Kerasclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Corporate Secretary","Perumda Dharma Jaya","Jakarta Timur, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Guru TWK / TKP","PT Akademi Prestasi Indonesia","Bekasi Selatan, Jawa Barat","Rp 4,500,000 – Rp 5,000,000 per month","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"AI Engineer","PT. PITIK DIGITAL INDONESIA","Tangerang Selatan, Banten","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Regional Procurement Specialist","Wildlife Conservation Society - Indonesia Program","Bogor, Jawa Barat","","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Network Engineer","PT Netmarks Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Teknik – JaringanTeknik – Jaringanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Project Coordination Unit (PCU) Coordinator","Wildlife Conservation Society - Indonesia Program","Bogor, Jawa Barat","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Corporate Secretary","","Jakarta Pusat, Jakarta Raya","Rp10.000.000 – Rp15.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Production Operations Admin Staff","Dexa Group","Cikarang Selatan, Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Export-Import","CV Putra Nusa","Menteng, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Interpreter Bahasa Korea dan Bahasa Inggris","PT Seoilindo Primatama","Jawa Barat","IDR 6,000,000 - 8,500,000","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Warehouse (Adm WH)","PT. DIGITAL SARANA INTIMEDIA","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"FTTH Supervisor","PT Bali Towerindo Sentra Tbk","Jakarta Pusat, Jakarta Raya","","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"(JV2312004) Reinsurance Treaty Staff - Jakarta (Temporary)","PT Asuransi Bintang, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN ONLINE SHOP","Hotto Purto Official","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Infrastruktur","PT. Mora Perkasa Group","Jakarta Timur, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Commercial Coordinator","PT. Satya Langgeng Sentosa","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi KontrakAdministrasi Kontrakclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Service Manager","PT Mahardika Teknotama Integrasi (MTI)","Jakarta Selatan, Jakarta Raya","Rp 12,950,000 – Rp 15,500,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Support","PT. AEON Indonesia","Tangerang Selatan, Banten","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Finance Admin","PT Adimas Isolasitama","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Security Engineer","PT Media Indonusa (Jakarta)","Jakarta Pusat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Infrastructure & Networking","Pulauintan Development","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Assistant Manager (Translator Mandarin)","PT Quality Life Collection","Jakarta Utara, Jakarta Raya","Rp 8.000.000 – Rp 10.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT","HANSYA HIJAB INDONESIA","Cikampek, Jawa Barat","Rp5.000.000 – Rp6.000.000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Purchasing","Cakra Buana Sejahtera","Jakarta Utara, Jakarta Raya","Rp 6,000,000 – Rp 8,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Japanese Interpreter & Administration - Entertainment (A-101546)","RGF HR Agent Indonesia","Jakarta Selatan, Jakarta Raya","Rp 9,000,000 – Rp 13,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Mandarin/Translator","PT. LIXING LABOUR SERVICE","Jakarta Utara, Jakarta Raya","Rp 10,000,000 – Rp 15,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Software Engineer","PT. PITIK DIGITAL INDONESIA","Tangerang Selatan, Banten","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operations Admin (Scheduling)","PT Cartrack South East Asia","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin","PT Multi Solusi Sejati","Tangerang, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ERP Specialist (SAP MM / WM)","FKS Group","Jakarta Pusat, Jakarta Raya","","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Specialist","Deliveree (PT Angkut Teknologi Indonesia)","Jakarta Selatan, Jakarta Raya","Rp 6,000,000 – Rp 9,000,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Back End Develover (Go Lang)","PT Ocommerce Capital Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary/Personal Assistant","PT Golden Great Borneo","Jakarta Utara, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"administrasi","PT. Mega Trans Indonesia","Jakarta Selatan, Jakarta Raya","Rp 5.000.000 – Rp 6.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Application Support - Manufacturing - Cikarang (A-101571)","RGF HR Agent Indonesia","Cikarang","Rp 8,000,000 – Rp 10,000,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"MOBILE (WEB) DEVELOPER","PT Indonesia Satu Tujuh","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Korean Speaker","PT Lock & Lock Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Product Owner","PT Lippo General Insurance Tbk","Tangerang, Banten","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Programmer","PT Rumah Solusi Digital International","Jakarta Selatan, Jakarta Raya","Rp 10.000.000 – Rp 15.000.000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"GENERAL AND RETAIL SALES  ADMIN","PT Ecogreen Clean Teknologi","Jakarta Utara, Jakarta Raya","Rp 5,000,000 – Rp 5,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Presales Software","PT Nusantara Compnet Integrator","Jakarta Barat, Jakarta Raya","","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Oracle Functional","PT Ciliandra Perkasa","Jakarta Barat, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Infrastructure and Cloud Engineer","PT AQ Business Consulting Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Administrasi","PT Lancar Maju Gemilang","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administrasi","PT Lancar Maju Gemilang","Jakarta Pusat, Jakarta Raya","Rp 3.500.000 – Rp 4.500.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Mobile Developer","IDEKU.ID","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Project","PT. Mahakam Beta Farma","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Receptionist","PT.OFERO TECHNOLOGY INDONESIA","Jakarta Utara, Jakarta Raya","Rp 5,000,000 – Rp 7,000,000 per month","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"QA Manual Tester","PT Nusantara Sejahtera Raya Tbk (Cinema XXI)","Jakarta Pusat, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT E-Banking Officer","PT Bank CTBC Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"BD Admin Senior Staff - Trading (A-101510)","RGF HR Agent Indonesia","Jakarta Barat, Jakarta Raya","Rp 9,500,000 – Rp 12,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Product Owner","PT ASURANSI SIMAS JIWA","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Audio and Image Annotator","PT Fata Organa Solusi","Tangerang Selatan, Banten","Rp 5.100.000 – Rp 6.000.000 per month","subClassification: LainnyaLainnyaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Business Analyst","Sewu Segar Nusantara (Gunung Sewu Group)","Tangerang, Banten","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SAP SD CONSULTANT","PT Mitra Solusi Telematika","Jakarta Selatan, Jakarta Raya","","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Staff (Mandarin)","Jiangsu Suzhong Construction Group Co., Ltd","Jakarta Utara, Jakarta Raya","Rp 8.000.000 – Rp 12.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
".NET Developer","PT Indocyber Global Teknologi","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Back End Developer","PT Reycom Document Solusi","Jakarta Pusat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Korean Translator","PT. Harmoni Nugraha Indonesia","Jakarta Selatan, Jakarta Raya","Rp 7,000,000 – Rp 8,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Secretary","PT Elo Karsa Utama","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Mandarin Translator","PT.Digital Sport Nusantara","Tangerang, Banten","Rp 8.000.000 – Rp 10.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Senior Backend Developer","PT Extramarks Education Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary / Personal Assistant / Personal Accountant","PT. ALPHA INDO SOFT","Jakarta Utara, Jakarta Raya","Rp 8,000,000 – Rp 10,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Executive Secretary - Talent Pool","BUT EMP Bentu Limited","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Data and Application Support","PT I D X Partners","Jakarta Pusat, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
